epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2436,1.30771,2.72053,1.09734,0.85798,0.82127,0.96312,0.74647,0.82013,1.68292,0.85179,0.0001375,0.0001375,0.0001375
2,19.8449,0.84307,0.85409,0.93103,0.97991,0.98785,0.99223,0.78853,0.69844,0.69332,0.8272,0.000284654,0.000284654,0.000284654
3,28.9599,0.74967,0.69956,0.91944,0.99095,0.99152,0.99489,0.82071,0.66311,0.57219,0.81936,0.000428838,0.000428838,0.000428838
4,38.0998,0.71324,0.65626,0.91046,0.98387,0.99482,0.9904,0.78439,0.70626,0.59211,0.83594,0.000570051,0.000570051,0.000570051
5,46.9417,0.75424,0.59081,0.91705,0.97821,0.97794,0.99403,0.79622,0.76504,0.61141,0.85231,0.000708295,0.000708295,0.000708295
6,55.4282,0.75923,0.60289,0.90913,0.98708,1,0.995,0.86832,0.59739,0.48638,0.80532,0.000843569,0.000843569,0.000843569
7,65.2071,0.68767,0.56637,0.9026,0.98354,0.98366,0.99439,0.85738,0.59087,0.5324,0.81006,0.000975872,0.000975872,0.000975872
8,73.3854,0.66203,0.52966,0.89093,0.97937,0.99412,0.99449,0.86519,0.57901,0.41187,0.80653,0.00110521,0.00110521,0.00110521
9,83.3941,0.63169,0.48989,0.87671,0.97925,0.99582,0.99455,0.83796,0.6481,0.46082,0.83019,0.001151,0.001151,0.001151
10,94.9379,0.62305,0.45065,0.87946,0.98443,1,0.995,0.88942,0.53681,0.36082,0.80532,0.00113863,0.00113863,0.00113863
11,105.953,0.5949,0.41968,0.87889,0.99507,0.99493,0.995,0.85812,0.58009,0.39189,0.81358,0.00112625,0.00112625,0.00112625
12,117.269,0.5982,0.41686,0.87452,0.989,0.99645,0.99489,0.86984,0.5624,0.39214,0.80289,0.00111388,0.00111388,0.00111388
13,128.811,0.58048,0.40615,0.87085,0.99089,1,0.99477,0.89888,0.49276,0.42806,0.79826,0.0011015,0.0011015,0.0011015
14,141.364,0.59404,0.40969,0.88509,0.99301,0.99738,0.995,0.86749,0.59111,0.40402,0.81454,0.00108913,0.00108913,0.00108913
15,151.616,0.59974,0.39771,0.87898,0.99341,1,0.995,0.8673,0.56919,0.34542,0.81592,0.00107675,0.00107675,0.00107675
16,162.348,0.57828,0.38644,0.87505,0.99688,1,0.995,0.86616,0.62471,0.35277,0.82765,0.00106437,0.00106437,0.00106437
17,172.146,0.6267,0.39097,0.88429,0.99472,1,0.995,0.88105,0.51957,0.35953,0.80277,0.001052,0.001052,0.001052
18,181.733,0.5808,0.38197,0.87458,0.99576,1,0.995,0.88703,0.53791,0.32968,0.81114,0.00103962,0.00103962,0.00103962
19,190.571,0.55244,0.36695,0.87575,0.99519,1,0.995,0.88934,0.52287,0.32605,0.80847,0.00102725,0.00102725,0.00102725
20,200.218,0.5716,0.38008,0.86626,0.99237,0.99419,0.99489,0.9084,0.48605,0.33323,0.80137,0.00101488,0.00101488,0.00101488
21,210.542,0.5446,0.36113,0.85922,0.99303,0.99263,0.99489,0.87771,0.56008,0.3464,0.81112,0.0010025,0.0010025,0.0010025
22,219.133,0.48878,0.33352,0.83976,0.99397,0.99739,0.995,0.91393,0.45185,0.31363,0.78896,0.000990125,0.000990125,0.000990125
23,228.098,0.49017,0.34131,0.85584,0.99666,1,0.995,0.90498,0.47388,0.29505,0.79353,0.00097775,0.00097775,0.00097775
24,236.212,0.48521,0.34639,0.85928,0.99711,1,0.995,0.91141,0.45579,0.2986,0.79287,0.000965375,0.000965375,0.000965375
25,246.287,0.51686,0.34825,0.85819,0.9974,1,0.995,0.90748,0.47605,0.31854,0.79995,0.000953,0.000953,0.000953
26,255.427,0.52063,0.3517,0.85043,0.99612,0.9984,0.995,0.89774,0.46712,0.30016,0.79433,0.000940625,0.000940625,0.000940625
27,264.967,0.48573,0.3511,0.8572,0.98768,0.999,0.99466,0.91997,0.42148,0.28068,0.78652,0.00092825,0.00092825,0.00092825
28,273.337,0.46566,0.32206,0.83497,0.99656,1,0.995,0.91909,0.42788,0.28062,0.78684,0.000915875,0.000915875,0.000915875
29,281.666,0.48077,0.31848,0.85079,0.99709,0.99627,0.995,0.89015,0.50054,0.30074,0.79848,0.0009035,0.0009035,0.0009035
30,289.341,0.48679,0.3197,0.8393,0.99722,0.99498,0.995,0.92313,0.41086,0.26809,0.78877,0.000891125,0.000891125,0.000891125
31,298.313,0.48454,0.32329,0.85531,0.99715,0.99488,0.995,0.91819,0.4203,0.26384,0.78623,0.00087875,0.00087875,0.00087875
32,307.298,0.43835,0.30408,0.83187,0.99697,0.99502,0.995,0.92431,0.44345,0.26509,0.79215,0.000866375,0.000866375,0.000866375
33,315.898,0.43677,0.30587,0.84084,0.99229,0.99905,0.995,0.93358,0.40911,0.25328,0.78417,0.000854,0.000854,0.000854
34,325.252,0.45655,0.30954,0.83996,0.99259,0.99951,0.995,0.9236,0.4138,0.25924,0.78808,0.000841625,0.000841625,0.000841625
35,333.431,0.44104,0.29928,0.83663,0.99643,1,0.995,0.90195,0.47845,0.27279,0.79191,0.00082925,0.00082925,0.00082925
36,342.424,0.43008,0.30264,0.84095,0.99605,1,0.995,0.92476,0.41595,0.26103,0.78498,0.000816875,0.000816875,0.000816875
37,350.463,0.40576,0.29483,0.82114,0.99419,0.99988,0.995,0.93155,0.41379,0.26245,0.78478,0.0008045,0.0008045,0.0008045
38,358.904,0.40736,0.28969,0.82775,0.99431,0.99955,0.995,0.9108,0.45459,0.26184,0.78757,0.000792125,0.000792125,0.000792125
39,366.862,0.39581,0.27699,0.82244,0.99632,1,0.995,0.92209,0.43281,0.25726,0.78486,0.00077975,0.00077975,0.00077975
40,374.942,0.40653,0.28583,0.82351,0.99635,1,0.995,0.93661,0.41035,0.24863,0.78139,0.000767375,0.000767375,0.000767375
41,383.153,0.40131,0.29007,0.81943,0.99687,1,0.995,0.92281,0.43211,0.25181,0.78419,0.000755,0.000755,0.000755
42,391.99,0.41926,0.29459,0.83368,0.99769,1,0.995,0.90901,0.46428,0.25854,0.78988,0.000742625,0.000742625,0.000742625
43,399.93,0.41061,0.2899,0.82334,0.99764,1,0.995,0.94148,0.36449,0.24059,0.77875,0.00073025,0.00073025,0.00073025
44,408.452,0.39919,0.28525,0.83758,0.99804,1,0.995,0.91963,0.45777,0.25922,0.78685,0.000717875,0.000717875,0.000717875
45,415.871,0.39421,0.27645,0.82254,0.99725,1,0.995,0.93248,0.40588,0.2495,0.78179,0.0007055,0.0007055,0.0007055
46,424.006,0.39556,0.28076,0.82243,0.99799,1,0.995,0.94194,0.37658,0.24042,0.77851,0.000693125,0.000693125,0.000693125
47,432.079,0.37358,0.26271,0.81766,0.99761,1,0.995,0.92549,0.4428,0.24687,0.78933,0.00068075,0.00068075,0.00068075
48,441.534,0.38155,0.27495,0.82553,0.99716,1,0.995,0.93115,0.42906,0.24487,0.78444,0.000668375,0.000668375,0.000668375
49,450.419,0.37712,0.27216,0.8237,0.99707,1,0.995,0.93186,0.40915,0.24587,0.78277,0.000656,0.000656,0.000656
50,459.581,0.36823,0.27291,0.81949,0.99802,1,0.995,0.93784,0.39879,0.23794,0.7798,0.000643625,0.000643625,0.000643625
51,468.928,0.36662,0.26818,0.81575,0.99764,1,0.995,0.94325,0.38626,0.23614,0.77755,0.00063125,0.00063125,0.00063125
52,478.576,0.3599,0.26219,0.82097,0.99761,1,0.995,0.9347,0.39561,0.24476,0.78109,0.000618875,0.000618875,0.000618875
53,485.916,0.36114,0.26107,0.81013,0.99665,1,0.995,0.9307,0.39632,0.24394,0.78042,0.0006065,0.0006065,0.0006065
54,494.803,0.37137,0.26203,0.81654,0.99769,1,0.995,0.92088,0.41596,0.23905,0.78288,0.000594125,0.000594125,0.000594125
55,502.003,0.36641,0.25839,0.81771,0.99749,1,0.995,0.93488,0.38404,0.23181,0.77977,0.00058175,0.00058175,0.00058175
56,510.24,0.35641,0.25137,0.81022,0.99732,1,0.995,0.92849,0.42806,0.2436,0.78575,0.000569375,0.000569375,0.000569375
57,518.078,0.37661,0.26773,0.81181,0.99775,1,0.995,0.94355,0.35906,0.22787,0.77681,0.000557,0.000557,0.000557
58,526.218,0.35187,0.25218,0.81524,0.9976,1,0.995,0.93233,0.39587,0.22533,0.78108,0.000544625,0.000544625,0.000544625
59,533.844,0.34114,0.24667,0.81523,0.99737,1,0.995,0.94604,0.36221,0.22669,0.77495,0.00053225,0.00053225,0.00053225
60,541.677,0.34022,0.24527,0.81859,0.99826,1,0.995,0.93972,0.3912,0.22809,0.77828,0.000519875,0.000519875,0.000519875
61,549.581,0.33625,0.24854,0.81421,0.99797,1,0.995,0.93975,0.38243,0.22189,0.77777,0.0005075,0.0005075,0.0005075
62,557.417,0.33426,0.24205,0.81137,0.99765,1,0.995,0.94456,0.36865,0.22698,0.77492,0.000495125,0.000495125,0.000495125
63,565.553,0.33895,0.24419,0.81249,0.99782,1,0.995,0.9416,0.38732,0.22063,0.77753,0.00048275,0.00048275,0.00048275
64,573.013,0.31964,0.23407,0.80801,0.99776,1,0.995,0.9511,0.34002,0.21103,0.77232,0.000470375,0.000470375,0.000470375
65,581.288,0.32566,0.23155,0.79873,0.99719,1,0.995,0.93924,0.38317,0.21867,0.77639,0.000458,0.000458,0.000458
66,588.951,0.32613,0.23754,0.81364,0.99748,1,0.995,0.94408,0.36023,0.21533,0.77567,0.000445625,0.000445625,0.000445625
67,596.69,0.34494,0.24732,0.81683,0.99753,1,0.995,0.94438,0.36764,0.21694,0.77706,0.00043325,0.00043325,0.00043325
68,604.257,0.3334,0.23723,0.80339,0.99762,1,0.995,0.94428,0.38837,0.22147,0.77731,0.000420875,0.000420875,0.000420875
69,611.944,0.32995,0.23705,0.80907,0.99807,1,0.995,0.94684,0.36379,0.21447,0.77368,0.0004085,0.0004085,0.0004085
70,619.529,0.31414,0.22405,0.80461,0.99819,1,0.995,0.94152,0.37873,0.21159,0.77537,0.000396125,0.000396125,0.000396125
71,627.389,0.31783,0.23068,0.81904,0.99824,1,0.995,0.94709,0.35,0.20238,0.7722,0.00038375,0.00038375,0.00038375
72,634.92,0.29375,0.21979,0.80092,0.99824,1,0.995,0.94703,0.36646,0.20907,0.77346,0.000371375,0.000371375,0.000371375
73,642.478,0.30277,0.22473,0.80896,0.99825,1,0.995,0.95158,0.33555,0.20237,0.77006,0.000359,0.000359,0.000359
74,650.061,0.30877,0.22114,0.80498,0.99825,1,0.995,0.94476,0.35799,0.20132,0.77279,0.000346625,0.000346625,0.000346625
75,658.028,0.29566,0.22059,0.81018,0.99793,1,0.995,0.95661,0.32977,0.19694,0.77134,0.00033425,0.00033425,0.00033425
76,665.625,0.2987,0.21795,0.80615,0.99794,1,0.995,0.95574,0.33363,0.19575,0.77022,0.000321875,0.000321875,0.000321875
77,673.469,0.29746,0.21729,0.80568,0.99829,1,0.995,0.95733,0.33771,0.19312,0.77065,0.0003095,0.0003095,0.0003095
78,681.213,0.27633,0.20635,0.79311,0.99846,1,0.995,0.95583,0.33801,0.19179,0.77014,0.000297125,0.000297125,0.000297125
79,688.928,0.26841,0.20205,0.79688,0.99843,1,0.995,0.9493,0.35846,0.19744,0.77237,0.00028475,0.00028475,0.00028475
80,696.65,0.27998,0.20846,0.80613,0.99825,1,0.995,0.95985,0.31333,0.19261,0.76841,0.000272375,0.000272375,0.000272375
81,704.187,0.28131,0.20625,0.8023,0.99823,1,0.995,0.95434,0.33108,0.19206,0.76875,0.00026,0.00026,0.00026
82,711.496,0.27081,0.20002,0.80605,0.99825,1,0.995,0.95857,0.31537,0.18611,0.76767,0.000247625,0.000247625,0.000247625
83,719.211,0.26965,0.19861,0.80442,0.99824,1,0.995,0.95317,0.34067,0.19258,0.77087,0.00023525,0.00023525,0.00023525
84,726.568,0.26856,0.19728,0.79972,0.99812,1,0.995,0.95519,0.31746,0.18805,0.76859,0.000222875,0.000222875,0.000222875
85,734.949,0.26676,0.19887,0.79968,0.99782,1,0.995,0.95599,0.32876,0.19198,0.76979,0.0002105,0.0002105,0.0002105
86,742.482,0.25682,0.19309,0.79331,0.99766,1,0.995,0.95545,0.32549,0.18937,0.76955,0.000198125,0.000198125,0.000198125
87,749.713,0.26735,0.20388,0.80185,0.99788,1,0.995,0.95544,0.3357,0.18898,0.76942,0.00018575,0.00018575,0.00018575
88,757.571,0.2667,0.19915,0.80125,0.99791,1,0.995,0.95612,0.34097,0.1905,0.77023,0.000173375,0.000173375,0.000173375
89,765.129,0.26235,0.19356,0.79114,0.99817,1,0.995,0.95631,0.32815,0.18723,0.7688,0.000161,0.000161,0.000161
90,773.144,0.26173,0.19865,0.79073,0.99818,1,0.995,0.95558,0.33145,0.19009,0.76956,0.000148625,0.000148625,0.000148625
91,812.652,0.23121,0.17273,0.78025,0.99807,1,0.995,0.95509,0.32555,0.18906,0.77043,0.00013625,0.00013625,0.00013625
92,819.938,0.22011,0.17063,0.77885,0.99801,1,0.995,0.95274,0.33394,0.18968,0.76969,0.000123875,0.000123875,0.000123875
93,826.883,0.21108,0.16827,0.77961,0.99802,1,0.995,0.95396,0.31756,0.18551,0.76759,0.0001115,0.0001115,0.0001115
94,833.86,0.20882,0.163,0.77726,0.99811,1,0.995,0.95662,0.32153,0.18477,0.76798,9.9125e-05,9.9125e-05,9.9125e-05
95,840.549,0.21186,0.16431,0.77348,0.99809,1,0.995,0.95633,0.32164,0.18379,0.76838,8.675e-05,8.675e-05,8.675e-05
96,847.545,0.2096,0.16149,0.77173,0.99829,1,0.995,0.95596,0.32012,0.18204,0.76709,7.4375e-05,7.4375e-05,7.4375e-05
97,854.492,0.20419,0.16343,0.77149,0.99844,1,0.995,0.95651,0.31526,0.17844,0.76666,6.2e-05,6.2e-05,6.2e-05
98,861.966,0.2033,0.15655,0.77344,0.99844,1,0.995,0.95897,0.31102,0.17895,0.76634,4.9625e-05,4.9625e-05,4.9625e-05
99,869.244,0.19584,0.15365,0.77404,0.99842,1,0.995,0.95996,0.31647,0.17586,0.7663,3.725e-05,3.725e-05,3.725e-05
100,877.614,0.18492,0.15045,0.77446,0.99838,1,0.995,0.95779,0.31828,0.1788,0.76677,2.4875e-05,2.4875e-05,2.4875e-05
