epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,422.351,0.37419,0.26283,0.81741,0.01012,0.10281,0.00695,0.00241,2.87472,5.93244,3.30193,0.000742625,0.000742625,0.000742625
43,436.058,0.38483,0.26665,0.82056,0.02234,0.03768,0.00884,0.00165,2.8434,5.96606,3.37239,0.00073025,0.00073025,0.00073025
44,444.595,0.39822,0.26665,0.81732,0.01312,0.03768,0.00365,0.00086,2.91459,5.71522,3.55407,0.000717875,0.000717875,0.000717875
45,452.864,0.39166,0.2649,0.81829,0.01727,0.03768,0.00568,0.00115,2.88246,5.65056,3.49718,0.0007055,0.0007055,0.0007055
46,461.446,0.3681,0.26005,0.81325,0.01817,0.05084,0.00613,0.00139,2.85853,5.74627,3.33187,0.000693125,0.000693125,0.000693125
47,470.22,0.36298,0.25599,0.81544,0.00262,0.07715,0.00211,0.0006,2.83021,6.045,3.18879,0.00068075,0.00068075,0.00068075
48,479.313,0.37329,0.26343,0.81961,0.00456,0.03947,0.0018,0.00055,2.85262,6.06416,3.19688,0.000668375,0.000668375,0.000668375
49,487.722,0.3529,0.25369,0.8126,0.01046,0.03768,0.00368,0.00097,2.94187,6.08831,3.34156,0.000656,0.000656,0.000656
50,496.545,0.36969,0.25953,0.81585,0.01652,0.03768,0.00711,0.0021,2.89044,6.08468,3.35668,0.000643625,0.000643625,0.000643625
51,505.31,0.36051,0.25699,0.80997,0.00892,0.07584,0.00639,0.00195,2.84782,5.96462,3.3045,0.00063125,0.00063125,0.00063125
52,514.023,0.36087,0.25412,0.81263,0.00369,0.02632,0.002,0.00056,2.90724,6.26597,3.19664,0.000618875,0.000618875,0.000618875
53,522.332,0.36645,0.25799,0.81802,0.00227,0.05263,0.00258,0.00074,2.89518,6.34707,3.14397,0.0006065,0.0006065,0.0006065
54,531.106,0.35345,0.25294,0.81122,0.00184,0.03947,0.00122,0.00035,2.80793,6.27566,3.19496,0.000594125,0.000594125,0.000594125
55,540.122,0.34493,0.24755,0.80382,0.00601,0.03947,0.00172,0.00041,2.89215,6.65364,3.16874,0.00058175,0.00058175,0.00058175
56,549.154,0.35873,0.25413,0.81248,0.01541,0.03947,0.00891,0.0017,2.9354,6.5299,3.31857,0.000569375,0.000569375,0.000569375
57,557.674,0.34102,0.2423,0.8149,0.01947,0.03947,0.00515,0.00098,2.98302,6.47546,3.45133,0.000557,0.000557,0.000557
58,567.011,0.35253,0.24219,0.80828,0.28309,0.03947,0.00766,0.00159,3.18051,5.89237,3.76368,0.000544625,0.000544625,0.000544625
59,580.156,0.3436,0.23851,0.82107,0.02992,0.05263,0.00811,0.00176,3.1587,6.07504,3.6185,0.00053225,0.00053225,0.00053225
60,589.321,0.33453,0.23532,0.81077,0.01197,0.03947,0.00552,0.00103,3.24569,5.95926,3.66073,0.000519875,0.000519875,0.000519875
61,597.623,0.3344,0.23655,0.81053,0.01367,0.03947,0.00524,0.00097,3.14518,6.05956,3.57286,0.0005075,0.0005075,0.0005075
62,606.321,0.32677,0.23784,0.80756,0.02355,0.03947,0.00676,0.00186,3.00409,6.02841,3.42157,0.000495125,0.000495125,0.000495125
63,615.072,0.33632,0.23659,0.80874,0.51279,0.01316,0.00292,0.00078,3.06538,6.21594,3.47895,0.00048275,0.00048275,0.00048275
64,623.988,0.32455,0.2323,0.80103,0.25688,0.01316,0.00188,0.00047,3.06618,6.37612,3.47153,0.000470375,0.000470375,0.000470375
